time,x_pos,y_pos,frame,num_pulse,stim_duration,tank,date,order
254.9375,-6.084,16.900065,,1,0,C,5/18/17,3
305.8551,-23.764,12.826716,,2,0,C,5/18/17,3
306.8561,-9.724,0.433335,,1,0,C,5/18/17,3
307.5735,-29.224,5.720022,,1,0,C,5/18/17,3
307.7903,-32.76,5.460021,,3,0,C,5/18/17,3
362.70288,-10.192,3.900015,,1,0,C,5/18/17,3
393.50032,-35.724,18.026736,,3,0,C,5/18/17,3
394.00082,-29.12,9.53337,,2,0,C,5/18/17,3
394.10092,-25.064,10.053372,,2,0,C,5/18/17,3
394.38453,-26.884,0.953337,,2,0,C,5/18/17,3
394.40122,-36.92,27.300105,,3,0,C,5/18/17,3
394.43458,-3.64,6.413358,,4,0,C,5/18/17,3
394.60142,-36.608,3.380013,,2,0,C,5/18/17,3
395.26875,-16.328,14.820057,,6,0,C,5/18/17,3
395.40222,-33.904,27.213438,,1,0,C,5/18/17,3
395.50232,-6.552,9.53337,,3,0,C,5/18/17,3
395.93608,-21.008,27.73344,,5,0,C,5/18/17,3
396.03618,-25.116,1.820007,,3,0,C,5/18/17,3
396.06955,-23.816,2.946678,,1,0,C,5/18/17,3
396.08623,-21.892,9.013368,,2,0,C,5/18/17,3
469.2427,-36.556,14.646723,,3,0,C,5/18/17,3
469.7098,-29.484,8.406699,,3,0,C,5/18/17,3
469.7598,-28.392,2.860011,,3,0,C,5/18/17,3
469.8599,-30.472,1.993341,,1,0,C,5/18/17,3
470.4439,-26.78,33.366795,,4,0,C,5/18/17,3
470.4939,-3.588,2.60001,,3,0,C,5/18/17,3
470.544,-6.032,26.86677,,1,0,C,5/18/17,3
470.6107,-26.832,28.340109,,4,0,C,5/18/17,3
471.4115,-30.836,22.620087,,2,0,C,5/18/17,3
471.6117,-33.904,11.180043,,2,0,C,5/18/17,3
471.6617,-24.7,4.33335,,4,0,C,5/18/17,3
471.9787,-19.032,20.020077,,2,0,C,5/18/17,3
487.6277,-31.772,11.440044,,1,0,C,5/18/17,3
490.8976,-29.328,17.593401,,2,0,C,5/18/17,3
550.2903,-36.348,0.346668,,1,0,C,5/18/17,3
550.7574,-36.92,5.980023,,3,0,C,5/18/17,3
551.3914,-21.84,13.606719,,4,0,C,5/18/17,3
552.2589,-28.652,33.973464,,3,0,C,5/18/17,3
552.7261,-36.244,2.860011,,1,0,C,5/18/17,3
553.8939,-18.46,30.766785,,1,0,C,5/18/17,3
550.7574,-36.92,5.980023,,1,0,C,5/18/17,3
552.2589,-28.652,33.973464,,1,0,C,5/18/17,3
651.48107,-22.932,1.993341,,1,0,C,5/18/17,3
711.2741,-6.916,28.166775,,2,0,C,5/18/17,3
712.3919,-14.196,31.806789,,2,0,C,5/18/17,3
732.0782,-38.116,6.326691,,2,0,C,5/18/17,3
789.8526,-4.16,33.366795,,2,0,C,5/18/17,3
867.5469,-4.368,20.366745,,1,0,C,5/18/17,3
867.7304,-36.92,1.73334,,1,0,C,5/18/17,3
867.8139,-18.044,11.526711,,4,0,C,5/18/17,3
868.5646,-3.692,31.026786,,3,0,C,5/18/17,3
868.6814,-29.432,0.260001,,1,0,C,5/18/17,3
868.8816,-36.504,16.813398,,4,0,C,5/18/17,3
868.9817,-17.94,20.973414,,2,0,C,5/18/17,3
869.2486,-19.916,27.473439,,2,0,C,5/18/17,3
869.332,-21.476,27.906774,,1,0,C,5/18/17,3
869.3821,-16.068,26.0001,,5,0,C,5/18/17,3
869.5489,-29.276,25.393431,,7,0,C,5/18/17,3
869.6824,-28.392,18.460071,,6,0,C,5/18/17,3
870.0161,-33.28,28.080108,,4,0,C,5/18/17,3
291.94458,-24.43616,23.1075,,5,0,B,5/18/17,2
315.8518,-19.85438,16.6725,,2,0,B,5/18/17,2
318.72133,-19.799835,15.405,,0,0,B,5/18/17,2
319.50545,-23.34526,8.97,,0,0,B,5/18/17,2
390.8434,-18.927115,20.28,,0,0,B,5/18/17,2
393.1957,-19.30893,18.0375,,0,0,B,5/18/17,2
411.9478,-20.127105,7.5075,,0,0,B,5/18/17,2
428.9481,-18.272575,35.5875,,2,0,B,5/18/17,2
479.215,-38.999675,32.955,,3,0,B,5/18/17,2
484.3201,-18.87257,19.11,,0,0,B,5/18/17,2
484.9207,-8.18175,15.6,,3,0,B,5/18/17,2
501.0535,-22.79981,33.2475,,2,0,B,5/18/17,2
501.8543,-38.999675,43.7775,,6,0,B,5/18/17,2
544.1299,-38.999675,40.4625,,4,0,B,5/18/17,2
560.9633,-14.127155,4.7775,,5,0,B,5/18/17,2
561.5639,-22.25436,3.705,,6,0,B,5/18/17,2
561.931,-18.87257,40.8525,,4,0,B,5/18/17,2
562.1979,-38.999675,34.8075,,2,0,B,5/18/17,2
562.7318,-38.672405,29.5425,,5,0,B,5/18/17,2
562.8652,-32.236095,19.11,,4,0,B,5/18/17,2
563.1655,-13.19989,30.81,,4,0,B,5/18/17,2
563.1822,-35.508795,6.825,,4,0,B,5/18/17,2
614.78875,-36.43606,35.88,,4,0,B,5/18/17,2
615.20583,-35.945155,28.9575,,3,0,B,5/18/17,2
615.57287,-27.70886,16.77,,5,0,B,5/18/17,2
616.07337,-10.418095,27.3,,2,0,B,5/18/17,2
616.10673,-24.381615,40.365,,4,0,B,5/18/17,2
616.6406,-30.76338,31.395,,4,0,B,5/18/17,2
619.5435,-15.81805,21.3525,,3,0,B,5/18/17,2
667.72497,-35.23607,32.37,,1,0,B,5/18/17,2
671.21178,-27.16341,35.1975,,4,0,B,5/18/17,2
720.6445,-30.98156,28.1775,,2,0,B,5/18/17,2
721.3118,-10.36355,15.6975,,2,0,B,5/18/17,2
721.6455,-36.599695,36.3675,,5,0,B,5/18/17,2
722.4463,-10.14537,26.13,,2,0,B,5/18/17,2
727.9184,-34.745165,29.7375,,2,0,B,5/18/17,2
728.3188,-40.79966,34.8075,,1,0,B,5/18/17,2
744.1346,-36.599695,11.31,,1,0,B,5/18/17,2
778.3021,-9.109015,8.385,,2,0,B,5/18/17,2
809.7001,-37.63605,29.9325,,3,0,B,5/18/17,2
809.7335,-37.254235,34.32,,4,0,B,5/18/17,2
810.1005,-22.69072,12.3825,,2,0,B,5/18/17,2
822.4796,-9.109015,32.565,,4,0,B,5/18/17,2
823.0134,-9.59992,16.77,,2,0,B,5/18/17,2
195.16165,-28.40875994,11.29800547,,2,0,A,5/19/17,4
195.66215,-20.96643706,5.609498555,,3,0,A,5/19/17,4
242.24205,-25.03033973,10.74495228,,3,0,A,5/19/17,4
243.14295,-17.83282337,4.029357992,,1,0,A,5/19/17,4
243.44325,-20.77058414,16.59147148,,1,0,A,5/19/17,4
244.11055,-10.58634791,17.30253606,,2,0,A,5/19/17,4
244.27735,-19.54651853,10.42892949,,4,0,A,5/19/17,4
245.04475,-18.32245292,12.6411245,,2,0,A,5/19/17,4
256.85655,-22.43531469,18.80366649,,1,0,A,5/19/17,4
257.49055,-24.39382187,15.48537397,,4,0,A,5/19/17,4
311.349084,-27.57456,31.0226,,3,0,A,5/19/17,4
311.365767,-18.07167,19.765828,,1,0,A,5/19/17,4
311.499234,-22.35621,31.111236,,1,0,A,5/19/17,4
311.699434,-21.86184,24.640808,,2,0,A,5/19/17,4
311.7328,-16.97307,11.788588,,3,0,A,5/19/17,4
315.903637,-20.81817,17.28402,,2,0,A,5/19/17,4
343.831537,-19.33506,31.0226,,2,0,A,5/19/17,4
371.375717,-29.88162,33.327136,,2,0,A,5/19/17,4
371.859537,-23.78439,26.768072,,3,0,A,5/19/17,4
372.326667,-28.72809,5.229524,,5,0,A,5/19/17,4
372.660337,-25.59708,18.879468,,3,0,A,5/19/17,4
372.860537,-25.98159,31.554416,,3,0,A,5/19/17,4
373.127467,-15.76461,19.765828,,4,0,A,5/19/17,4
373.260937,-17.24772,25.881712,,2,0,A,5/19/17,4
373.461137,-23.18016,15.865844,,6,0,A,5/19/17,4
373.561237,-27.24498,27.211252,,2,0,A,5/19/17,4
373.861537,-10.82091,13.206764,,3,0,A,5/19/17,4
374.195197,-22.24635,9.484052,,3,0,A,5/19/17,4
383.437767,-14.88573,13.915852,,1,0,A,5/19/17,4
436.057017,-34.82532,30.402148,,6,0,A,5/19/17,4
436.807717,-32.18868,8.154512,,5,0,A,5/19/17,4
437.241517,-13.07304,14.359032,,2,0,A,5/19/17,4
437.858817,-26.47596,16.663568,,3,0,A,5/19/17,4
438.125717,-24.33369,26.679436,,3,0,A,5/19/17,4
438.542817,-0.549,20.918096,,2,0,A,5/19/17,4
438.726317,-18.45618,28.186248,,1,0,A,5/19/17,4
438.776417,-12.79839,7.179516,,3,0,A,5/19/17,4
439.326917,-31.41966,21.893092,,2,0,A,5/19/17,4
439.677317,-14.88573,34.390768,,4,0,A,5/19/17,4
440.361317,-15.05052,14.447668,,3,0,A,5/19/17,4
449.120017,-34.44081,6.6477,,2,0,A,5/19/17,4
449.637217,-27.95907,20.297644,,2,0,A,5/19/17,4
490.544817,-28.34358,14.18176,,2,0,A,5/19/17,4
543.030517,-13.78713,23.843084,,2,0,A,5/19/17,4
543.397617,-33.23235,12.320404,,6,0,A,5/19/17,4
543.881417,-31.09008,29.161244,,3,0,A,5/19/17,4
543.964817,-4.61382,10.63632,,6,0,A,5/19/17,4
544.398617,-35.42955,5.229524,,6,0,A,5/19/17,4
544.548717,-22.30128,21.361276,,4,0,A,5/19/17,4
544.582117,-18.18153,19.588556,,3,0,A,5/19/17,4
544.615417,-21.03789,32.086232,,2,0,A,5/19/17,4
544.748917,-20.48859,5.052252,,7,0,A,5/19/17,4
544.865717,-30.48585,7.97724,,5,0,A,5/19/17,4
544.915717,-23.01537,27.03398,,3,0,A,5/19/17,4
545.099317,-23.72946,8.8636,,5,0,A,5/19/17,4
545.316117,-10.05189,1.240904,,3,0,A,5/19/17,4
545.399617,-34.88025,20.82946,,4,0,A,5/19/17,4
545.633117,-7.52511,18.347652,,4,0,A,5/19/17,4
545.816617,-25.70694,26.058984,,3,0,A,5/19/17,4
553.591117,-6.31665,9.129508,,1,0,A,5/19/17,4
613.717817,-9.8871,5.052252,,3,0,A,5/19/17,4
616.136917,-24.99285,14.62494,,4,0,A,5/19/17,4
617.204617,-10.16175,38.733932,,4,0,A,5/19/17,4
661.95055,-0.65886,24.729444,,5,0,A,5/19/17,4
662.53447,-9.11808,30.313512,,4,0,A,5/19/17,4
663.03497,-7.63497,36.518032,,1,0,A,5/19/17,4
663.5021,-1.15323,32.35214,,3,0,A,5/19/17,4
722.27748,-5.82228,12.231768,,2,0,A,5/19/17,4
722.91145,-10.9857,3.811348,,1,0,A,5/19/17,4
728.63383,-6.86595,10.63632,,1,0,A,5/19/17,4
738.31017,-15.70968,9.218144,,2,0,A,5/19/17,4
770.142,-32.9577,11.256772,,3,0,A,5/19/17,4
770.876,-35.7042,20.120372,,6,0,A,5/19/17,4
771.3599,-35.7042,8.952236,,3,0,A,5/19/17,4
771.6435,-10.49133,7.97724,,2,0,A,5/19/17,4
771.7102,-21.86184,17.461292,,1,0,A,5/19/17,4
771.9771,-19.11534,0.354544,,2,0,A,5/19/17,4
772.3775,-29.16753,22.956724,,4,0,A,5/19/17,4
772.9448,-13.7322,28.097612,,1,0,A,5/19/17,4
772.9781,-31.8591,7.268152,,2,0,A,5/19/17,4
773.2117,-16.75335,22.247636,,4,0,A,5/19/17,4
773.5787,-20.43366,14.447668,,3,0,A,5/19/17,4
773.7456,-9.44766,21.27264,,4,0,A,5/19/17,4
774.2127,-17.63223,29.338516,,3,0,A,5/19/17,4
774.5464,-15.16038,24.108992,,3,0,A,5/19/17,4
792.6311,-35.20983,17.461292,,2,0,A,5/19/17,4
832.2373,-3.68001,25.438532,,4,0,A,5/19/17,4
832.7712,-20.98296,32.440776,,4,0,A,5/19/17,4
842.6644,-29.1126,0.354544,,2,0,A,5/19/17,4
859.4812,-3.51522,29.338516,,3,0,A,5/19/17,4
896.1512,-2.91099,32.35214,,2,0,A,5/19/17,4
896.6851,-19.66464,0.797724,,2,0,A,5/19/17,4
897.7027,-12.96318,3.98862,,2,0,A,5/19/17,4
898.3033,-3.78987,15.777208,,7,0,A,5/19/17,4
898.8038,-8.40399,16.574932,,4,0,A,5/19/17,4
899.2376,-4.99833,4.4318,,4,0,A,5/19/17,4
899.6714,-15.16038,5.140888,,2,0,A,5/19/17,4
900.7224,-15.48996,1.152268,,1,0,A,5/19/17,4
900.8559,-13.84206,1.32954,,1,0,A,5/19/17,4
902.0905,-8.29413,11.168136,,1,0,A,5/19/17,4
909.5312,-14.77587,4.87498,,2,0,A,5/19/17,4
205.6057,-4.27375,20.209008,,2,0,C,5/19/17,2
249.0991,-2.510725,13.73858,,2,0,C,5/19/17,2
249.4161,-13.9971,8.597692,,2,0,C,5/19/17,2
249.5663,-8.601175,24.640808,,2,0,C,5/19/17,2
250.0835,-24.6821,37.138484,,6,0,C,5/19/17,2
250.1168,-23.72045,-0.088636,,5,0,C,5/19/17,2
250.2503,-18.37795,26.945344,,3,0,C,5/19/17,2
250.7508,-22.919075,16.929476,,4,0,C,5/19/17,2
250.8008,-27.13965,7.711332,,1,0,C,5/19/17,2
251.4849,-20.4081,21.361276,,1,0,C,5/19/17,2
251.8853,-26.551975,17.018112,,1,0,C,5/19/17,2
303.5535,-2.510725,10.015868,,1,0,C,5/19/17,2
