Date,Experiment,Tank,Tank_order,Activity,Activity_rank,Stimulus_duration,Brightness,Response,Response_normalized,Stimulus_order,Trial_order,Trial,Start_time,Program,include
18-May-17,Duration,A,1,38,1,3,50,11,0.095652174,1,1,1,20:03,1,1
18-May-17,Duration,A,1,38,1,1,50,5,0.043478261,2,2,1,20:03,1,1
18-May-17,Duration,A,1,38,1,0.5,50,0,0,3,3,1,20:03,1,1
18-May-17,Duration,A,1,38,1,7,50,18,0.156521739,4,4,1,20:03,1,1
18-May-17,Duration,A,1,38,1,5,50,19,0.165217391,5,5,1,20:03,1,1
18-May-17,Duration,A,1,38,1,4,50,13,0.113043478,6,6,1,20:03,1,1
18-May-17,Duration,A,1,38,1,2,50,11,0.095652174,7,7,1,20:03,1,1
18-May-17,Duration,A,1,38,1,10,50,16,0.139130435,8,8,1,20:03,1,1
18-May-17,Duration,A,1,38,1,6,50,14,0.12173913,9,9,1,20:03,1,1
18-May-17,Duration,A,1,38,1,8,50,8,0.069565217,10,10,1,20:03,1,1
18-May-17,Duration,A,1,38,1,2,50,17,0.17,11,1,2,20:03,1,1
18-May-17,Duration,A,1,38,1,6,50,13,0.13,12,2,2,20:03,1,1
18-May-17,Duration,A,1,38,1,8,50,16,0.16,13,3,2,20:03,1,1
18-May-17,Duration,A,1,38,1,1,50,4,0.04,14,4,2,20:03,1,1
18-May-17,Duration,A,1,38,1,4,50,6,0.06,15,5,2,20:03,1,1
18-May-17,Duration,A,1,38,1,5,50,10,0.1,16,6,2,20:03,1,1
18-May-17,Duration,A,1,38,1,10,50,7,0.07,17,7,2,20:03,1,1
18-May-17,Duration,A,1,38,1,3,50,11,0.11,18,8,2,20:03,1,1
18-May-17,Duration,A,1,38,1,0.5,50,0,0,19,9,2,20:03,1,1
18-May-17,Duration,A,1,38,1,7,50,16,0.16,20,10,2,20:03,1,1
18-May-17,Duration,A,1,38,1,7,50,14,0.142857143,21,1,3,20:03,1,1
18-May-17,Duration,A,1,38,1,0.5,50,1,0.010204082,22,2,3,20:03,1,1
18-May-17,Duration,A,1,38,1,6,50,14,0.142857143,23,3,3,20:03,1,1
18-May-17,Duration,A,1,38,1,8,50,9,0.091836735,24,4,3,20:03,1,1
18-May-17,Duration,A,1,38,1,2,50,5,0.051020408,25,5,3,20:03,1,1
18-May-17,Duration,A,1,38,1,1,50,3,0.030612245,26,6,3,20:03,1,1
18-May-17,Duration,A,1,38,1,3,50,10,0.102040816,27,7,3,20:03,1,1
18-May-17,Duration,A,1,38,1,5,50,14,0.142857143,28,8,3,20:03,1,1
18-May-17,Duration,A,1,38,1,10,50,11,0.112244898,29,9,3,20:03,1,1
18-May-17,Duration,A,1,38,1,4,50,17,0.173469388,30,10,3,20:03,1,1
18-May-17,Duration,B,2,61,3,8,50,17,0.120567376,1,1,1,22:35,2,1
18-May-17,Duration,B,2,61,3,5,50,22,0.156028369,2,2,1,22:35,2,1
18-May-17,Duration,B,2,61,3,7,50,13,0.092198582,3,3,1,22:35,2,1
18-May-17,Duration,B,2,61,3,6,50,14,0.09929078,4,4,1,22:35,2,1
18-May-17,Duration,B,2,61,3,4,50,14,0.09929078,5,5,1,22:35,2,1
18-May-17,Duration,B,2,61,3,1,50,7,0.04964539,6,6,1,22:35,2,1
18-May-17,Duration,B,2,61,3,2,50,7,0.04964539,7,7,1,22:35,2,1
18-May-17,Duration,B,2,61,3,10,50,12,0.085106383,8,8,1,22:35,2,1
18-May-17,Duration,B,2,61,3,3,50,15,0.106382979,9,9,1,22:35,2,1
