file,measurement,roi_area,mean_pix_value,min_pix_value,max_pix_value,roi_x,roi_y,frame,frame_true,display_num,pulse_num,background_area,background_mean,background_min,background_max,background_x,background_y
clip_01_4sec,1,12,49.167,39,59,34,30,1,76,1,1,12,17,17,17,71,6
clip_01_4sec,2,34,49.529,30,70,11,33.5,1,76,2,1,34,17,17,17,11,7.5
clip_01_4sec,3,32,60.312,31,88,36,28,2,77,1,1,32,18.312,18,19,47,28
clip_01_4sec,4,44,76.977,32,122,11.5,33,2,77,2,1,44,19.159,18,22,20.5,33
clip_01_4sec,5,34,88.912,36,132,38,25.5,3,78,1,1,34,22.353,18,26,48,25.5
clip_01_4sec,6,69,105.536,31,170,11.5,30.5,3,78,2,1,69,28.304,25,36,23.5,30.5
clip_01_4sec,7,37,113.351,29,170,37.5,22.5,4,79,1,1,37,28.135,23,36,48.5,22.5
clip_01_4sec,8,61,134.328,62,202,11.5,29.5,4,79,2,1,61,35.328,29,45,21.5,29.5
clip_01_4sec,9,32,140.25,102,183,38.5,22,5,80,1,1,32,37,29,41,47.5,22
clip_01_4sec,10,51,144.412,58,203,11.5,30.5,5,80,2,1,51,37.647,31,48,21.5,30.5
clip_01_4sec,11,48,124.5,62,183,39,22,6,81,1,1,48,37.833,30,46,48,22
clip_01_4sec,12,69,129.957,40,195,12.5,31.5,6,81,2,1,69,36.406,32,46,24.5,31.5
clip_01_4sec,13,36,136.028,87,188,40,23,7,82,1,1,36,35.278,30,43,50,23
clip_01_4sec,14,64,123.422,52,180,13,32,7,82,2,1,64,35.547,31,42,24,32
clip_01_4sec,15,42,133.357,76,191,41,22.5,8,83,1,1,42,34.952,31,42,51,22.5
clip_01_4sec,16,72,118.736,48,184,14,33.5,8,83,2,1,72,35.625,30,43,25,33.5
clip_01_4sec,17,48,125.917,66,195,42,23,9,84,1,1,48,38.083,31,47,50,23
clip_01_4sec,18,80,115.088,45,186,15,34,9,84,2,1,80,36.737,31,48,25,34
clip_01_4sec,19,36,138.972,78,188,43,23,10,85,1,1,36,34.278,29,42,52,23
clip_01_4sec,20,70,118.6,44,179,16.5,35,10,85,2,1,70,35.871,33,47,26.5,35
clip_01_4sec,21,42,126.976,72,187,44,23.5,11,86,1,1,42,28.143,24,33,54,23.5
clip_01_4sec,22,84,111.298,39,183,17.5,36,11,86,2,1,84,34.071,27,43,28.5,36
clip_01_4sec,23,54,109.148,52,182,45,23.5,12,87,1,1,54,29.741,25,36,54,23.5
clip_01_4sec,24,96,105.333,34,185,19,37,12,87,2,1,96,34.583,28,46,29,37
clip_01_4sec,25,58,103.517,48,177,46.5,24,13,88,1,1,58,28.707,23,35,55.5,24
clip_01_4sec,26,64,119.219,46,176,20,38,13,88,2,1,64,32.375,27,41,31,38
clip_01_4sec,27,42,116.643,67,173,47,24.5,14,89,1,1,42,31.31,25,40,55,24.5
clip_01_4sec,28,80,110.775,47,176,21,38,14,89,2,1,80,34.612,29,43,31,38
clip_01_4sec,29,48,104.25,54,169,48,25,15,90,1,1,48,28.229,23,35,57,25
clip_01_4sec,30,79,103.608,40,169,22.5,40.5,15,90,2,1,79,31.013,25,39,35.5,40.5
clip_01_4sec,31,48,103.729,57,170,49,25,16,91,1,1,48,27.875,23,34,58,25
clip_01_4sec,32,79,102.177,36,171,23.5,41.5,16,91,2,1,79,33.241,28,42,34.5,41.5
clip_01_4sec,33,58,93.638,40,164,49.5,25,17,92,1,1,58,28.879,25,39,58.5,25
clip_01_4sec,34,72,109.722,56,168,25,42.5,17,92,2,1,72,39.847,33,50,34,42.5
